Branch_A,Branch_B,Relationship
feat/TC-520-telemetry-api-setup,fix/env-gates-20260128-1615,A_ancestor_of_B
feat/TC-520-telemetry-api-setup,fix/main-green-20260128-1505,A_ancestor_of_B
feat/TC-520-telemetry-api-setup,integrate/main-e2e-20260128-0837,A_ancestor_of_B
feat/TC-520-telemetry-api-setup,impl/tc300-wire-orchestrator-20260128,neither
feat/TC-512-mcp-tool-handlers,fix/env-gates-20260128-1615,A_ancestor_of_B
feat/TC-512-mcp-tool-handlers,fix/main-green-20260128-1505,A_ancestor_of_B
feat/TC-512-mcp-tool-handlers,integrate/main-e2e-20260128-0837,A_ancestor_of_B
feat/TC-512-mcp-tool-handlers,impl/tc300-wire-orchestrator-20260128,neither
fix/env-gates-20260128-1615,fix/main-green-20260128-1505,B_ancestor_of_A
fix/env-gates-20260128-1615,integrate/main-e2e-20260128-0837,B_ancestor_of_A
fix/env-gates-20260128-1615,impl/tc300-wire-orchestrator-20260128,neither
fix/main-green-20260128-1505,integrate/main-e2e-20260128-0837,B_ancestor_of_A
fix/main-green-20260128-1505,impl/tc300-wire-orchestrator-20260128,neither
integrate/main-e2e-20260128-0837,impl/tc300-wire-orchestrator-20260128,neither
